"Statistic Label","Year","County","Species","Forest Owner","UNIT","VALUE"
"Afforestation Area","2023","Co. Wexford","Total Afforestation","Non-Farmer","Hectares","9"
"Afforestation Area","2023","Co. Wexford","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Wexford","Broadleaf","Total Afforestation","Hectares","14"
"Afforestation Area","2023","Co. Wexford","Broadleaf","Farmer","Hectares","6"
"Afforestation Area","2023","Co. Wexford","Broadleaf","Non-Farmer","Hectares","8"
"Afforestation Area","2023","Co. Wexford","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Wexford","Conifer","Total Afforestation","Hectares","1"
"Afforestation Area","2023","Co. Wexford","Conifer","Farmer","Hectares","0"
"Afforestation Area","2023","Co. Wexford","Conifer","Non-Farmer","Hectares","0"
"Afforestation Area","2023","Co. Wexford","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Wicklow","Total Afforestation","Total Afforestation","Hectares","41"
"Afforestation Area","2023","Co. Wicklow","Total Afforestation","Farmer","Hectares","20"
"Afforestation Area","2023","Co. Wicklow","Total Afforestation","Non-Farmer","Hectares","21"
"Afforestation Area","2023","Co. Wicklow","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Wicklow","Broadleaf","Total Afforestation","Hectares","32"
"Afforestation Area","2023","Co. Wicklow","Broadleaf","Farmer","Hectares","15"
"Afforestation Area","2023","Co. Wicklow","Broadleaf","Non-Farmer","Hectares","17"
"Afforestation Area","2023","Co. Wicklow","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Wicklow","Conifer","Total Afforestation","Hectares","9"
"Afforestation Area","2023","Co. Wicklow","Conifer","Farmer","Hectares","5"
"Afforestation Area","2023","Co. Wicklow","Conifer","Non-Farmer","Hectares","4"
"Afforestation Area","2023","Co. Wicklow","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Ireland","Total Afforestation","Total Afforestation","Hectares","1651"
"Afforestation Area","2023","Ireland","Total Afforestation","Farmer","Hectares","773"
"Afforestation Area","2023","Ireland","Total Afforestation","Non-Farmer","Hectares","877"
"Afforestation Area","2023","Ireland","Total Afforestation","Public Sector","Hectares","2"
"Afforestation Area","2023","Ireland","Broadleaf","Total Afforestation","Hectares","899"
"Afforestation Area","2023","Ireland","Broadleaf","Farmer","Hectares","423"
"Afforestation Area","2023","Ireland","Broadleaf","Non-Farmer","Hectares","474"
"Afforestation Area","2023","Ireland","Broadleaf","Public Sector","Hectares","1"
"Afforestation Area","2023","Ireland","Conifer","Total Afforestation","Hectares","753"
"Afforestation Area","2023","Ireland","Conifer","Farmer","Hectares","350"
"Afforestation Area","2023","Ireland","Conifer","Non-Farmer","Hectares","402"
"Afforestation Area","2023","Ireland","Conifer","Public Sector","Hectares","1"
